Hora,Psub(TR),Qsub(TR),FP(TR),Psub(SST),Qsub(SST),FP(SST),P (SST),Q (SST),S (SST)
195,10.7195,-8.0537,0.7995,10.7088,-2.6117,0.9716,10.5903,5.4417,12.0
196,12.7282,-8.0382,0.8455,12.7248,-1.5854,0.9923,12.5574,6.4524,14.0
197,10.9286,-8.0521,0.8051,10.9182,-2.5049,0.9747,10.795,5.5469,12.0
198,11.8307,-8.0451,0.8269,11.8242,-2.0433,0.9854,11.6798,6.0015,13.0
199,11.4769,-8.0479,0.8188,11.4686,-2.2243,0.9817,11.3328,5.8232,13.0
200,11.8298,-8.0452,0.8269,11.8228,-2.044,0.9854,11.6784,6.0008,13.0
201,11.9262,-8.0444,0.829,11.9192,-1.9949,0.9863,11.7725,6.0491,13.0
202,12.7882,-8.0378,0.8467,12.784,-1.5553,0.9927,12.615,6.482,14.0
203,11.9818,-8.044,0.8303,11.9741,-1.967,0.9868,11.8261,6.0767,13.0
204,13.1119,-8.0353,0.8526,13.1087,-1.3905,0.9944,12.9309,6.6444,15.0
205,11.553,-8.0473,0.8206,11.5438,-2.186,0.9826,11.4062,5.8609,13.0
206,12.5216,-8.0398,0.8415,12.5168,-1.6911,0.991,12.3549,6.3484,14.0
207,11.2799,-8.0494,0.814,11.2705,-2.3253,0.9794,11.1393,5.7238,13.0
208,11.3983,-8.0485,0.8169,11.3903,-2.2642,0.9808,11.2563,5.7839,13.0
209,14.3784,-8.0256,0.8732,14.381,-0.746,0.9987,14.1662,7.2791,16.0
210,12.1553,-8.0426,0.834,12.1468,-1.8791,0.9883,11.9944,6.1631,13.0
211,12.222,-8.0421,0.8354,12.2156,-1.8442,0.9888,12.0614,6.1976,14.0
212,12.7567,-8.038,0.8461,12.7521,-1.5715,0.9925,12.5839,6.4661,14.0
213,12.666,-8.0387,0.8443,12.6605,-1.618,0.9919,12.4948,6.4203,14.0
214,12.9221,-8.0368,0.8492,12.9176,-1.4875,0.9934,12.745,6.5489,14.0
215,11.6632,-8.0464,0.8231,11.6544,-2.1297,0.9837,11.5142,5.9164,13.0
216,13.0263,-8.036,0.8511,13.0231,-1.4339,0.994,12.8476,6.6016,14.0
217,13.0796,-8.0355,0.852,13.0754,-1.4074,0.9943,12.8985,6.6277,15.0
218,12.8732,-8.0371,0.8483,12.8681,-1.5126,0.9932,12.6969,6.5241,14.0
219,14.5907,-8.0239,0.8762,14.5928,-0.6389,0.999,14.3715,7.3846,16.0
220,13.3915,-8.0331,0.8575,13.3869,-1.2494,0.9957,13.2014,6.7833,15.0
221,13.3286,-8.0336,0.8565,13.3249,-1.2809,0.9954,13.1411,6.7523,15.0
222,12.708,-8.0384,0.8451,12.7021,-1.5969,0.9922,12.5353,6.4411,14.0
223,13.866,-8.0295,0.8654,13.8651,-1.0071,0.9974,13.6658,7.022,15.0
224,13.5422,-8.032,0.8601,13.5389,-1.1724,0.9963,13.349,6.8592,15.0
