Hora,Psub(TR),Qsub(TR),FP(TR),Psub(SST),Qsub(SST),FP(SST),P (SST),Q (SST),S (SST)
652,37.3067,11.9018,0.9527,37.0069,-5.4254,0.9896,35.3362,0.0006,35.0
653,37.0939,11.7967,0.953,36.7967,-5.4361,0.9894,35.1448,0.0006,35.0
654,36.7334,11.6188,0.9534,36.4426,-5.454,0.9892,34.822,0.0006,35.0
655,36.6891,11.5969,0.9535,36.4018,-5.4561,0.9891,34.7848,0.0006,35.0
656,37.0421,11.7712,0.953,36.7506,-5.4384,0.9894,35.1028,0.0006,35.0
657,38.2856,12.3851,0.9515,37.9655,-5.3758,0.9903,36.208,0.0006,36.0
658,37.3324,11.9145,0.9527,37.0312,-5.4241,0.9896,35.3584,0.0006,35.0
659,36.4986,11.5029,0.9538,36.215,-5.4655,0.989,34.6144,0.0006,35.0
660,37.7747,12.1329,0.9521,37.4658,-5.4017,0.9899,35.7538,0.0006,36.0
661,37.3507,11.9236,0.9526,37.0464,-5.4233,0.9896,35.3722,0.0006,35.0
662,37.8242,12.1573,0.952,37.5172,-5.3991,0.99,35.8006,0.0006,36.0
663,38.0276,12.2577,0.9518,37.7139,-5.3889,0.9901,35.9794,0.0006,36.0
664,37.6374,12.0651,0.9523,37.3273,-5.4089,0.9898,35.6278,0.0006,36.0
665,36.9872,11.7441,0.9531,36.6887,-5.4416,0.9894,35.0464,0.0006,35.0
666,36.7112,11.6078,0.9535,36.4215,-5.4551,0.9891,34.8028,0.0006,35.0
667,37.8315,12.1609,0.952,37.5212,-5.3989,0.99,35.8042,0.0006,36.0
668,36.3025,11.406,0.954,36.0224,-5.4752,0.9888,34.4386,0.0006,34.0
669,37.0796,11.7897,0.953,36.7908,-5.4364,0.9894,35.1394,0.0006,35.0
670,37.6301,12.0615,0.9523,37.3279,-5.4089,0.9898,35.6284,0.0006,36.0
671,37.9216,12.2054,0.9519,37.611,-5.3942,0.99,35.8858,0.0006,36.0
672,38.0137,12.2509,0.9518,37.6994,-5.3896,0.9901,35.9662,0.0006,36.0
673,37.9616,12.2252,0.9519,37.6473,-5.3923,0.9901,35.9188,0.0006,36.0
674,38.1492,12.3178,0.9516,37.8328,-5.3827,0.9902,36.0874,0.0006,36.0
675,38.0718,12.2796,0.9517,37.7549,-5.3867,0.9901,36.0166,0.0006,36.0
676,37.2656,11.8816,0.9527,36.966,-5.4274,0.9896,35.299,0.0006,35.0
677,38.1218,12.3042,0.9517,37.805,-5.3841,0.9902,36.0622,0.0006,36.0
678,38.1051,12.296,0.9517,37.7879,-5.385,0.9902,36.0466,0.0006,36.0
679,39.119,12.7966,0.9504,38.7803,-5.3328,0.9908,36.9472,0.0006,37.0
680,38.3196,12.4019,0.9514,37.9973,-5.3741,0.9903,36.2368,0.0006,36.0
681,38.3183,12.4013,0.9514,37.9966,-5.3741,0.9903,36.2362,0.0006,36.0
682,38.4462,12.4644,0.9513,38.1228,-5.3675,0.9904,36.3508,0.0006,36.0
683,38.9837,12.7298,0.9506,38.6519,-5.3396,0.9907,36.8308,0.0006,37.0
684,37.9478,12.2184,0.9519,37.6334,-5.3931,0.9901,35.9062,0.0006,36.0
685,38.5161,12.4989,0.9512,38.1949,-5.3637,0.9904,36.4162,0.0006,36.0
686,39.1058,12.7901,0.9505,38.7717,-5.3332,0.9908,36.9394,0.0006,37.0
687,38.1806,12.3333,0.9516,37.8612,-5.3812,0.9902,36.1132,0.0006,36.0
688,38.212,12.3488,0.9515,37.8929,-5.3796,0.9902,36.142,0.0006,36.0
689,38.6082,12.5444,0.9511,38.2834,-5.3591,0.9905,36.4966,0.0006,36.0
690,38.7021,12.5908,0.9509,38.3727,-5.3544,0.9906,36.5776,0.0006,37.0
691,39.6493,13.0584,0.9498,39.2984,-5.305,0.9912,37.4164,0.0006,37.0
692,39.0071,12.7413,0.9506,38.6645,-5.3389,0.9908,36.8422,0.0006,37.0
693,39.0034,12.7395,0.9506,38.6665,-5.3388,0.9908,36.844,0.0006,37.0
694,38.9403,12.7084,0.9507,38.6043,-5.3421,0.9907,36.7876,0.0006,37.0
695,39.1734,12.8234,0.9504,38.8346,-5.3299,0.9909,36.9964,0.0006,37.0
696,37.7795,12.1352,0.9521,37.4684,-5.4016,0.9899,35.7562,0.0006,36.0
697,39.477,12.9733,0.95,39.1307,-5.314,0.9911,37.2646,0.0006,37.0
698,39.1231,12.7986,0.9504,38.7803,-5.3328,0.9908,36.9472,0.0006,37.0
699,39.1501,12.8119,0.9504,38.8101,-5.3312,0.9909,36.9742,0.0006,37.0
700,37.7438,12.1176,0.9521,37.4334,-5.4034,0.9899,35.7244,0.0006,36.0
701,38.6711,12.5754,0.951,38.3423,-5.356,0.9905,36.55,0.0006,37.0
702,38.0683,12.2778,0.9517,37.7469,-5.3872,0.9901,36.0094,0.0006,36.0
703,39.2253,12.849,0.9503,38.8843,-5.3272,0.9909,37.0414,0.0006,37.0
704,38.839,12.6583,0.9508,38.5024,-5.3475,0.9907,36.6952,0.0006,37.0
705,40.0551,13.2587,0.9493,39.6951,-5.2835,0.9914,37.7752,0.0006,38.0
706,40.4637,13.4605,0.9489,40.0968,-5.2616,0.9917,38.1382,0.0006,38.0
707,39.0662,12.7705,0.9505,38.7267,-5.3356,0.9908,36.8986,0.0006,37.0
708,39.0416,12.7583,0.9505,38.7035,-5.3368,0.9908,36.8776,0.0006,37.0
709,39.4443,12.9572,0.9501,39.1009,-5.3156,0.991,37.2376,0.0006,37.0
710,40.8149,13.6338,0.9485,40.4372,-5.2429,0.9919,38.4454,0.0006,38.0
711,39.502,12.9856,0.95,39.1526,-5.3128,0.9911,37.2844,0.0006,37.0
712,39.716,13.0913,0.9497,39.3647,-5.3014,0.9912,37.4764,0.0006,37.0
713,39.2132,12.8431,0.9503,38.8671,-5.3281,0.9909,37.0258,0.0006,37.0
714,39.675,13.0711,0.9498,39.3269,-5.3035,0.9912,37.4422,0.0006,37.0
715,40.0432,13.2529,0.9494,39.6858,-5.2841,0.9914,37.7668,0.0006,38.0
716,38.9035,12.6902,0.9507,38.5679,-5.344,0.9907,36.7546,0.0006,37.0
717,39.7172,13.0919,0.9497,39.3647,-5.3014,0.9912,37.4764,0.0006,37.0
718,40.0268,13.2447,0.9494,39.6692,-5.285,0.9914,37.7518,0.0006,38.0
719,39.0395,12.7573,0.9505,38.7009,-5.337,0.9908,36.8752,0.0006,37.0
720,40.8915,13.6716,0.9484,40.5123,-5.2388,0.9919,38.5132,0.0006,39.0
721,39.4824,12.976,0.95,39.1334,-5.3139,0.9911,37.267,0.0006,37.0
722,40.8653,13.6587,0.9484,40.4864,-5.2402,0.9919,38.4898,0.0006,38.0
723,40.0433,13.2529,0.9494,39.6818,-5.2843,0.9914,37.7632,0.0006,38.0
724,38.7797,12.6291,0.9508,38.4468,-5.3504,0.9906,36.6448,0.0006,37.0
725,39.8955,13.1799,0.9495,39.5392,-5.292,0.9913,37.6342,0.0006,38.0
726,39.2584,12.8654,0.9503,38.9101,-5.3258,0.9909,37.0648,0.0006,37.0
727,39.4798,12.9747,0.95,39.134,-5.3138,0.9911,37.2676,0.0006,37.0
728,39.42,12.9452,0.9501,39.0731,-5.3171,0.991,37.2124,0.0006,37.0
729,39.4719,12.9708,0.95,39.1248,-5.3143,0.9911,37.2592,0.0006,37.0
730,39.7843,13.125,0.9497,39.4324,-5.2978,0.9913,37.5376,0.0006,38.0
731,38.1616,12.3239,0.9516,37.842,-5.3822,0.9902,36.0958,0.0006,36.0
732,38.8638,12.6706,0.9507,38.5361,-5.3457,0.9907,36.7258,0.0006,37.0
733,38.8459,12.6617,0.9508,38.5123,-5.347,0.9907,36.7042,0.0006,37.0
734,39.0443,12.7597,0.9505,38.7082,-5.3366,0.9908,36.8818,0.0006,37.0
735,38.5189,12.5003,0.9512,38.1882,-5.3641,0.9904,36.4102,0.0006,36.0
736,39.1918,12.8325,0.9504,38.8565,-5.3287,0.9909,37.0162,0.0006,37.0
737,37.7997,12.1452,0.9521,37.4882,-5.4006,0.9899,35.7742,0.0006,36.0
738,39.2027,12.8379,0.9503,38.8624,-5.3284,0.9909,37.0216,0.0006,37.0
739,38.8106,12.6443,0.9508,38.4746,-5.349,0.9906,36.67,0.0006,37.0
740,38.4525,12.4675,0.9512,38.1248,-5.3674,0.9904,36.3526,0.0006,36.0
741,38.2947,12.3896,0.9514,37.9721,-5.3754,0.9903,36.214,0.0006,36.0
742,38.1547,12.3205,0.9516,37.8354,-5.3826,0.9902,36.0898,0.0006,36.0
743,37.7294,12.1105,0.9522,37.417,-5.4043,0.9899,35.7094,0.0006,36.0
744,38.8678,12.6725,0.9507,38.5348,-5.3458,0.9907,36.7246,0.0006,37.0
745,37.9868,12.2376,0.9518,37.6717,-5.3911,0.9901,35.941,0.0006,36.0
