Hora,Psub(TR),Qsub(TR),FP(TR),Psub(SST),Qsub(SST),FP(TR),P Global (TR),Q Global (TR),FP Global(TR),P Global (SST),Q Global(SST),FP Global (SST),P (SST),Q (SST)
106,20.8432,5.5829,0.9659,20.7825,-4.3971,0.9785,62.53,16.7487,0.9659,123.4984,16.4254,0.9913,20.3841,0.0017,20.0
107,19.8527,5.0727,0.9689,19.7984,-4.4388,0.9759,59.5553,15.217,0.9689,117.703,14.9235,0.9921,19.4363,0.0017,19.0
108,19.3809,4.8306,0.9703,19.3327,-4.4578,0.9746,58.1481,14.4936,0.9703,114.9585,14.2137,0.9924,18.9871,0.0017,19.0
109,21.6158,5.9819,0.9638,21.5534,-4.3632,0.9802,64.8613,17.9517,0.9638,128.0345,17.6039,0.9907,21.1253,0.0018,21.0
110,20.1752,5.2391,0.9679,20.1229,-4.4252,0.9768,60.5362,15.7216,0.9679,119.6149,15.4185,0.9918,19.7491,0.0017,20.0
111,21.3249,5.8317,0.9646,21.2644,-4.3761,0.9796,63.9875,17.5005,0.9646,126.3348,17.162,0.9909,20.8476,0.0017,21.0
112,21.1769,5.7553,0.965,21.1165,-4.3826,0.9793,63.5401,17.2697,0.965,125.4644,16.9359,0.991,20.7054,0.0017,21.0
113,22.746,6.5664,0.9608,22.6735,-4.312,0.9825,68.2508,19.7047,0.9608,134.6201,19.3195,0.9899,22.2004,0.0018,22.0
114,20.8575,5.5906,0.9659,20.7998,-4.3964,0.9785,62.5823,16.7757,0.9659,123.6002,16.4518,0.9913,20.4007,0.0017,20.0
115,20.2887,5.2973,0.9676,20.2332,-4.4206,0.9771,60.8695,15.8932,0.9676,120.2643,15.5868,0.9917,19.8553,0.0017,20.0
116,19.5884,4.937,0.9697,19.5375,-4.4495,0.9752,58.7669,14.8116,0.9697,116.1656,14.5258,0.9923,19.1847,0.0017,19.0
117,20.6627,5.4908,0.9665,20.6127,-4.4044,0.978,62.0168,16.4841,0.9664,122.4991,16.1661,0.9914,20.2207,0.0017,20.0
118,18.8022,4.5337,0.9721,18.7597,-4.4808,0.9728,56.4173,13.6051,0.9721,111.5805,13.3414,0.9929,18.434,0.0017,18.0
